,Factor1,Factor2,Factor3,Factor4,Factor5
G1_1,0.17852009621373913,0.08260564601642881,0.3070970810035075,0.07581600535055899,0.020787223413813217
G2_1,0.10184185549126977,-0.05216762637564899,-0.022753148422287116,0.24439970301748365,-0.02609768702909226
G2_2,0.03048325803803607,-0.011456081611091769,0.014744328990162934,0.04567615197084128,-0.007919102126019142
G2_3,0.42826660711545556,-0.04148463849892311,0.08352071982399431,0.3513201875454546,-0.03338778623695652
G2_4,0.4213878308891319,-0.04000898015359281,-0.011433479220106594,0.26632168382082716,-0.02312409903082106
G2_5,0.63242511346637,-0.17602027194165634,0.10563578803291285,0.1515123603296198,0.012126116672865742
G2_6,0.24642630827158618,0.07166698336303755,0.016903311939131624,-0.057626425182895395,0.011113502079681063
G2_7,-0.7111550722192094,0.11426733635211524,0.19510760533621907,-0.290548563026888,-0.051893744402705895
G2_8,0.491086967408529,-0.05618100537285994,0.029583335094174792,0.3107908234402516,0.0371784261425776
G2_10,-0.012617591783247504,0.04425301046192126,0.02193456167839192,0.021498326273622005,0.9909490697091644
G2_11,-0.01315016181501644,0.0497123088437452,0.017203741418077647,0.01102181365027561,0.9198505663216056
G3_1,0.1184426151666244,-0.02099746374499768,0.026116889165988706,0.29741068677400007,0.044778423586575036
G3_2,0.31263588964427497,0.02066577604720529,0.07623401490345436,-0.13121332561671611,-0.010219108024115206
G3_3,0.04604026135435396,-0.011039300093721397,-0.053171591494367,-0.012399950088992154,0.0013635254688454627
G3_4,0.5897454189748841,-0.04696721919514035,0.06851311388969258,-0.0774462932230614,0.038297704138499276
G3_5,0.32097820423540774,-0.03208165486244071,0.06163305026155749,0.4579499838867065,0.05191292106769324
G3_6,0.15185046082168172,0.012635500154379505,-0.09823545269817105,0.22858677266254523,-0.031458869479867944
G3_7,0.4127543526853683,0.015501511292187945,-0.029780830197648964,0.0038071540912105245,-0.01585495095195679
G3_8,-0.03646332823773127,-0.001543508115849287,-0.006207424674246209,0.00215304105230386,-0.005406824771312928
G4_1,0.1996069250992949,-0.049942351461710374,0.42671899855769396,-0.08016638692398637,-0.01147456063454341
G5_1,0.17007035632729667,0.08699570329026055,0.23808314698338703,-0.12264541992107669,-0.05421121762474518
G6_1,-0.14995625692211667,0.5383488417961965,0.10368817444072202,-0.08236400182051003,-0.02304415307343487
G6_2,-0.04589749612110461,-0.05591712481006204,0.1415178067354122,0.4705534323331405,0.04928604376531773
G6_3,0.09195377749473481,-0.002134923398973439,-0.2670073820742717,-0.15091797359718742,0.006582726722205546
G6_4,0.5763882450387885,-0.09216076367686427,0.04514379053495896,0.23329660073541253,-0.0022782151238333304
G6_5,0.0005676317675381446,-0.055152844020953815,0.0038848849063224684,-0.12532420902491295,-0.0012440380550533029
G6_6,0.034669832214339724,0.05286410264443982,0.0334935281925586,0.13203201767737036,-0.03233094166143104
G6_7,-0.02123442768565281,-0.09403844982348539,0.15866106322289242,0.47447342673780796,-0.03714504341829995
G6_8,-0.019103846017733836,-0.5448041107728184,0.268237415472094,0.030175727368455984,-0.027257999260361696
G6_9,0.03796158539559502,-0.3930264768694715,0.3712554249149925,0.027460174324769476,0.0004897018127325282
G6_10,0.10187167032358109,-0.015086374948749055,0.020838988355212803,0.05005943209593482,-0.04093466266882908
G6_11,-0.0008493738750162378,0.025962152509318718,0.014768278425938792,-0.03274011677985603,-0.001299789371514157
G7_1,-0.011230419094752243,0.5995465661668266,0.15149779511404185,0.023454890750598187,0.04106614832992139
G8_1,0.002404929204874886,0.11318137756376451,0.6721168104559738,0.2076257498807986,-0.007190313486232973
G9_1,-0.03278620051746203,0.5824062756312727,0.1084782281905736,-0.03209255072660824,0.009675999742642917
G10_1,0.03448451504017939,-0.050376365329198425,0.21835149916486615,-0.27685864598935245,-0.018141837258191854
G11_2,-0.07426930189394396,0.5374334674524467,0.036262170133953615,-0.05257407141422245,0.04444964027955833
G11_3,-0.055271041076344354,-0.04443956309006643,0.10686602871439843,0.4461748869221092,0.04921029432702768
G11_4,0.05566355900440228,-0.38945488061867517,0.370018124582575,-0.00350519037180982,0.022856315261358378
G11_5,0.04521124908886493,-0.037716645572579484,-0.051789232340377245,-0.04286351917737636,0.0021681263704213176
G11_6,0.13023337877022775,-0.13653613297575534,0.06735143489031317,0.049245692325485,-0.04378965482057148
G11_7,0.025112199922658195,0.05632491477844258,-0.06782544373220922,-0.02421014113646976,-0.001048859995820355
G11_8,0.03641075457772904,-0.122094512769209,0.11993226593538545,0.4424242033900407,-0.011348573613453957
G11_9,0.038431208224919876,0.006384898953156763,-0.012026454197242966,0.03781271830563265,0.004292015073279382
G11_10,0.5596201956980923,-0.07285507836426194,0.03302453716996636,0.2178104543046085,-0.029326882688188144
G11_11,-0.006108990164813062,-0.4909621503138499,0.2191755181511877,-0.030293434723768217,0.00587676285719524
G11_12,0.14399069059830572,-0.07852853237335498,0.03263886085929059,0.011636545542140721,-0.05059280173440859
G12_1,-0.051259001630052696,0.5500403199657631,0.0732746110634454,0.0477013509154406,-0.024157296616778616
G13_1,0.09436388388948405,0.07210268653921688,0.6459660545614082,0.12747286917191264,-0.009485718918777891
G14_1,0.005262575830537035,0.5460886149725105,0.05902529998477255,-0.051194728802763864,0.01810224440091748
G15_1,0.0898305160965158,-0.038816398615609565,0.341126208145382,-0.01638049373477111,0.03896434547706864
